"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	"Month"	"Month Code"	Avg Fine Particulate Matter (µg/m³)
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2008"	"2008"	"Jan"	"1"	9.4012
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2008"	"2008"	"Feb"	"2"	10.1860
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2008"	"2008"	"Mar"	"3"	11.4621
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2008"	"2008"	"Apr"	"4"	12.6881
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2008"	"2008"	"May"	"5"	11.5830
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2008"	"2008"	"Jun"	"6"	11.0894
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2008"	"2008"	"Jul"	"7"	15.8761
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2008"	"2008"	"Aug"	"8"	12.8090
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2008"	"2008"	"Sep"	"9"	15.2106
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2008"	"2008"	"Oct"	"10"	14.4310
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2008"	"2008"	"Nov"	"11"	13.2454
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2008"	"2008"	"Dec"	"12"	10.7510
"Total"	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2008"	"2008"			12.3992
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2009"	"2009"	"Jan"	"1"	15.8332
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2009"	"2009"	"Feb"	"2"	9.8943
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2009"	"2009"	"Mar"	"3"	12.2172
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2009"	"2009"	"Apr"	"4"	11.5047
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2009"	"2009"	"May"	"5"	12.8864
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2009"	"2009"	"Jun"	"6"	12.9544
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2009"	"2009"	"Jul"	"7"	14.5788
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2009"	"2009"	"Aug"	"8"	14.1783
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2009"	"2009"	"Sep"	"9"	12.7310
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2009"	"2009"	"Oct"	"10"	10.3550
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2009"	"2009"	"Nov"	"11"	15.3548
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2009"	"2009"	"Dec"	"12"	12.6522
"Total"	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2009"	"2009"			12.9510
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2010"	"2010"	"Jan"	"1"	13.5055
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2010"	"2010"	"Feb"	"2"	10.0054
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2010"	"2010"	"Mar"	"3"	10.3203
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2010"	"2010"	"Apr"	"4"	10.6080
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2010"	"2010"	"May"	"5"	8.2060
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2010"	"2010"	"Jun"	"6"	9.8974
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2010"	"2010"	"Jul"	"7"	8.3596
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2010"	"2010"	"Aug"	"8"	8.3897
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2010"	"2010"	"Sep"	"9"	8.2077
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2010"	"2010"	"Oct"	"10"	8.2620
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2010"	"2010"	"Nov"	"11"	10.3518
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2010"	"2010"	"Dec"	"12"	14.5315
"Total"	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2010"	"2010"			10.0573
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2011"	"2011"	"Jan"	"1"	14.3513
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2011"	"2011"	"Feb"	"2"	8.9705
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2011"	"2011"	"Mar"	"3"	8.9904
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2011"	"2011"	"Apr"	"4"	7.6985
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2011"	"2011"	"May"	"5"	7.7086
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2011"	"2011"	"Jun"	"6"	10.0926
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2011"	"2011"	"Jul"	"7"	9.4093
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2011"	"2011"	"Aug"	"8"	9.0446
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2011"	"2011"	"Sep"	"9"	8.2141
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2011"	"2011"	"Oct"	"10"	8.5290
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2011"	"2011"	"Nov"	"11"	7.9946
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2011"	"2011"	"Dec"	"12"	12.6143
"Total"	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2011"	"2011"			9.4828
"Total"	"Arizona"	"04"	"Cochise County, AZ"	"04003"					10.5883
	"Arizona"	"04"	"Coconino County, AZ"	"04005"	"2003"	"2003"	"Jan"	"1"	17.0737
	"Arizona"	"04"	"Coconino County, AZ"	"04005"	"2003"	"2003"	"Feb"	"2"	9.7497
	"Arizona"	"04"	"Coconino County, AZ"	"04005"	"2003"	"2003"	"Mar"	"3"	10.1248
	"Arizona"	"04"	"Coconino County, AZ"	"04005"	"2003"	"2003"	"Apr"	"4"	6.0595
	"Arizona"	"04"	"Coconino County, AZ"	"04005"	"2003"	"2003"	"May"	"5"	11.4986
	"Arizona"	"04"	"Coconino County, AZ"	"04005"	"2003"	"2003"	"Jun"	"6"	9.5299
	"Arizona"	"04"	"Coconino County, AZ"	"04005"	"2003"	"2003"	"Jul"	"7"	11.7576
	"Arizona"	"04"	"Coconino County, AZ"	"04005"	"2003"	"2003"	"Aug"	"8"	8.3785
	"Arizona"	"04"	"Coconino County, AZ"	"04005"	"2003"	"2003"	"Sep"	"9"	10.7575
	"Arizona"	"04"	"Coconino County, AZ"	"04005"	"2003"	"2003"	"Oct"	"10"	13.2258
