State,State Code,County,County Code,Year,Year Code,Month,Month Code,Avg Daily Max Air Temperature (F),Avg Daily Max Heat Index (F),Cases
Arizona,4.0,Gila,4007.0,2003,2003.0,Apr,4,64.8509,79.0,0
Arizona,4.0,Gila,4007.0,2003,2003.0,May,5,79.4464,83.963,1
Arizona,4.0,Gila,4007.0,2003,2003.0,Jun,6,87.828,85.4176,1
Arizona,4.0,Gila,4007.0,2003,2003.0,Jul,7,94.7323,91.5427,0
Arizona,4.0,Gila,4007.0,2003,2003.0,Aug,8,89.6999,88.389,1
Arizona,4.0,Gila,4007.0,2003,2003.0,Sep,9,85.0299,84.7609,1
Arizona,4.0,Gila,4007.0,2003,2003.0,Oct,10,78.8527,82.3888,1
Arizona,4.0,Gila,4007.0,2004,2004.0,Mar,3,67.9801,80.0495,0
Arizona,4.0,Gila,4007.0,2004,2004.0,Apr,4,66.8566,80.3894,1
Arizona,4.0,Gila,4007.0,2004,2004.0,May,5,79.544,81.5115,1
Arizona,4.0,Gila,4007.0,2004,2004.0,Jun,6,87.4106,84.9727,2
Arizona,4.0,Gila,4007.0,2004,2004.0,Jul,7,90.7496,87.9564,0
